               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.068851,            0.035496,            0.033399,             0.47805,             0.67188,             0.55697,             0.14922,            0.064719,            0.032146,            0.033144,           0.0077969,           0.0077969,            0.022497
                  61,            0.069711,            0.043373,            0.033175,             0.40775,             0.51374,             0.39754,             0.10059,            0.071548,            0.035837,            0.033962,           0.0079007,           0.0079007,            0.021201
                  62,            0.065766,            0.041471,             0.03306,             0.62232,             0.61107,             0.63282,             0.16508,            0.065422,             0.03014,            0.032982,           0.0080033,           0.0080033,            0.019903
                  63,            0.069258,            0.036641,             0.03245,             0.41063,             0.56663,             0.46407,             0.14099,             0.07038,            0.038643,            0.034283,           0.0081048,           0.0081048,            0.018605
                  64,            0.066314,            0.036447,            0.032335,             0.41527,             0.58958,             0.44162,             0.10123,            0.071301,            0.031476,            0.033493,           0.0082052,           0.0082052,            0.017305
                  65,            0.067484,            0.035859,            0.032605,             0.53793,             0.63083,             0.55346,             0.19176,            0.065804,            0.033098,            0.033554,           0.0083044,           0.0083044,            0.016004
                  66,            0.064683,            0.035699,            0.032351,               0.557,             0.59688,             0.52658,             0.16436,            0.066876,            0.033345,              0.0328,           0.0084024,           0.0084024,            0.014702
                  67,            0.068796,            0.036184,            0.032408,               0.509,             0.60657,             0.53494,             0.17822,            0.068402,            0.033673,            0.034074,           0.0084992,           0.0084992,            0.013399
                  68,            0.065329,            0.036979,            0.032322,              0.5669,             0.67838,             0.63704,             0.20335,             0.06386,            0.031884,            0.033094,           0.0085948,           0.0085948,            0.012095
                  69,            0.063976,            0.035606,            0.031739,             0.54068,             0.69191,             0.60023,             0.21068,            0.065024,            0.033801,            0.033136,           0.0086891,           0.0086891,            0.010789
                  70,            0.060024,            0.036416,            0.031256,             0.64316,             0.71982,              0.6758,              0.2426,            0.063625,             0.03088,            0.032063,           0.0087822,           0.0087822,           0.0094822
                  71,            0.065646,            0.038365,            0.031669,             0.53524,             0.56386,             0.54204,             0.15723,            0.068459,            0.033204,            0.032775,           0.0088124,           0.0088124,           0.0088124
                  72,             0.06361,            0.035955,             0.03181,              0.5962,             0.58013,             0.58327,             0.18544,            0.064741,            0.032995,            0.033237,           0.0088124,           0.0088124,           0.0088124
                  73,            0.062247,            0.034352,            0.031614,             0.54955,             0.59617,             0.48738,              0.1109,            0.072189,            0.030871,            0.033023,           0.0087804,           0.0087804,           0.0087804
                  74,            0.061426,            0.035278,            0.031654,             0.68864,             0.70736,             0.68279,             0.25762,            0.061156,            0.030168,            0.032425,           0.0087479,           0.0087479,           0.0087479
                  75,            0.061971,             0.03709,            0.031206,             0.66012,             0.70312,             0.63532,             0.16667,            0.067686,            0.030595,            0.033066,           0.0087151,           0.0087151,           0.0087151
                  76,            0.064597,             0.03492,            0.031212,             0.60368,             0.66298,              0.6043,             0.21285,            0.063067,            0.033714,            0.033408,            0.008682,            0.008682,            0.008682
                  77,            0.059575,             0.03516,            0.030884,             0.71388,             0.69325,             0.70625,             0.21887,            0.062719,             0.03149,            0.031811,           0.0086485,           0.0086485,           0.0086485
                  78,              0.0611,            0.035404,            0.030709,             0.60303,             0.72056,             0.66164,             0.23426,            0.060692,            0.031534,            0.031919,           0.0086146,           0.0086146,           0.0086146
                  79,            0.060616,            0.034811,            0.030682,             0.65354,             0.71427,             0.69981,             0.26888,            0.060079,            0.031553,            0.032636,           0.0085805,           0.0085805,           0.0085805
                  80,            0.057724,            0.035623,            0.030183,             0.73151,             0.65378,             0.66716,             0.24524,             0.06326,            0.032261,            0.032716,           0.0085459,           0.0085459,           0.0085459
                  81,            0.063121,            0.033983,            0.030521,             0.55873,             0.63225,             0.58338,             0.14395,            0.069919,            0.031314,            0.033633,           0.0085111,           0.0085111,           0.0085111
                  82,            0.057776,            0.036323,            0.030429,             0.75628,             0.75475,             0.74151,             0.27666,            0.060552,            0.030255,            0.032692,           0.0084759,           0.0084759,           0.0084759
                  83,            0.057506,            0.036029,             0.03079,             0.69152,             0.49601,             0.56025,             0.16982,            0.066937,            0.038344,             0.03315,           0.0084404,           0.0084404,           0.0084404
                  84,            0.059108,            0.036456,            0.030327,             0.62316,              0.6663,             0.63065,             0.21482,            0.063046,            0.033272,            0.032122,           0.0084046,           0.0084046,           0.0084046
                  85,            0.058411,            0.032623,            0.030072,             0.67304,             0.62449,              0.6373,             0.18245,            0.065635,            0.032597,            0.032891,           0.0083684,           0.0083684,           0.0083684
                  86,            0.060774,            0.036844,            0.029903,             0.64732,             0.72095,             0.66561,             0.26187,            0.061916,            0.034675,            0.033175,           0.0083319,           0.0083319,           0.0083319
                  87,            0.057514,            0.034653,            0.030352,             0.75529,             0.75614,             0.74649,             0.27847,            0.060453,            0.034513,            0.032196,           0.0082952,           0.0082952,           0.0082952
                  88,            0.055978,            0.035037,            0.030225,              0.7444,             0.64498,             0.69265,             0.23485,            0.063261,            0.033634,            0.032384,           0.0082581,           0.0082581,           0.0082581
                  89,            0.055429,            0.033159,            0.029938,             0.73318,             0.70388,             0.71491,               0.306,             0.06072,            0.031323,            0.031184,           0.0082207,           0.0082207,           0.0082207
                  90,            0.056733,            0.031575,            0.030209,             0.78343,             0.69212,             0.72661,             0.29229,            0.059597,            0.034474,            0.031626,            0.008183,            0.008183,            0.008183
                  91,            0.057843,             0.03369,            0.029834,             0.67748,             0.53979,             0.57395,             0.21249,            0.064999,            0.041921,            0.034104,            0.008145,            0.008145,            0.008145
                  92,             0.05623,            0.034092,            0.030426,             0.60144,             0.63181,             0.61888,             0.21931,            0.061827,            0.040673,             0.03263,           0.0081068,           0.0081068,           0.0081068
                  93,            0.054174,            0.032592,            0.029477,             0.75941,             0.73365,             0.74368,              0.2874,            0.060065,            0.031487,            0.031042,           0.0080682,           0.0080682,           0.0080682
                  94,            0.053141,            0.032189,            0.029483,             0.73455,             0.71797,             0.73824,             0.27468,            0.061512,            0.032191,             0.03093,           0.0080294,           0.0080294,           0.0080294
                  95,            0.055785,            0.030766,            0.029785,             0.69725,             0.77763,             0.74601,             0.30165,            0.058281,            0.031316,            0.030181,           0.0079903,           0.0079903,           0.0079903
                  96,            0.052921,            0.034116,            0.029249,             0.73706,             0.76122,             0.74397,             0.29048,            0.058375,            0.031723,            0.029915,           0.0079509,           0.0079509,           0.0079509
                  97,            0.053739,            0.031018,            0.028974,             0.75103,             0.73194,             0.71857,             0.19784,            0.063892,            0.033414,            0.030057,           0.0079112,           0.0079112,           0.0079112
                  98,            0.055741,            0.034181,            0.028946,             0.72667,             0.79424,             0.76085,             0.29296,            0.058594,            0.030275,            0.030495,           0.0078713,           0.0078713,           0.0078713
